Bill of Material for ,,,,,,,,,
On 20/04/2018 at 06:43:15,,,,,,,,,
,,,,,,,,,
Value,Pattern,Quantity,Part number (old),Part Number 2019,Supplied,James Checked,Farnell Number,Digikey,Comments
,,,,,,,,,
0.1uF,1608[0603],73,MC0603B104K500CT,0603-100nF-50V,PCB Train free components,yes,,,
100K,6-0805_M,48,CPF-A-0805B100KE1,MCTF0805TTY1003,Customer Supplied,yes,2112793,,
10k,6-0805_M,48,CPF-A-0805B10KE1,MCTC0525B1002T5E,Customer Supplied,yes,1575900,,
10nF,1608[0603],6,MC0603B103K500CT,0603-10nF-50V,PCB Train free components,yes,,,
10uF,1608[0603],20,GRM188C80E106ME47D,0603-10uF-6.3V,PCB Train free components,yes,,,
13k,6-0805_M,6,MC01W0805113K,0805-13K,PCB Train free components,yes,,,
1u,1608[0603],6,MC0603X105K250CT,0603-1uF-25V,PCB Train free components,yes,,,
2.2nF,1608[0603],6,MC0603B222K500CT,0603-2.2nF-50V,PCB Train free components,yes,,,
20k,6-0805_M,13,CPF-A-0805B20KE1,MCWF08U2002BTL,Customer Supplied,yes,2694242,,
220pF,1608[0603],6,MC0603N221J500CT,0603-220pF-50V,PCB Train free components,yes,,,
2k,6-0805_M,1,MC01W080512K,0805-2K,PCB Train free components,yes,,,
330,6-0805_M,2,MC01W08051330R,0805-330R,PCB Train free components,yes,,,
4.7uF,1608[0603],2,MC0603F475Z6R3CT,0603-4.7uF-10V,PCB Train free components,yes,,,
51k,6-0805_M,12,ERA6AEB513V,RG2012P-2491-B-T5,Customer Supplied,yes,2920485,,Note the change in value is deliberate
5.1k,6-0805_M,12,CPF-A-0805B5K1E1,CPF-A-0805B5K1E1,Customer Supplied,yes,2484006,,
715,6-0805_M,6,ERJ6ENF7150V,ERJ6ENF7150V,Customer Supplied,yes,2303536,,
AD9833BRMZ,ADI-RM-10_M,6,AD9833BRMZ,AD9833BRMZ,Customer Supplied,yes,1581966,,
LTC1044ACS8,LT-S8-8_M,1,LTC1044CS8#PBF,LTC660,Customer Supplied,yes,,LTC660CS8#PBF-ND,Change in part number confirmed
LTC6900IS5#PBF,LT-TSOT-23-5_V,1,LTC6900CS5#TRMPBF,LTC6900CS5#TRMPBFCT-ND,Customer Supplied,yes,,LTC6900CS5#TRMPBFCT-ND,
MCP73831T-2ADI/OT,SOT-23-OT5_M,1,MCP73831T-2ADI/OT,MCP73831T-2ACI/OT,Customer Supplied,yes,1332158,,
OPA2188AIDR,D0008A_L,24,OPA2188AIDR,OPA2188AIDR,Customer Supplied,yes,,296-29454-1-ND,
TLMS1100-GS08,VISH-TLMX1100_V,2,TLMS1100-GS08,TLMS1100-GS08,Customer Supplied,yes,1328309,,
Micro USB Receptacle (J1),,1,47346-0001,47346-0001,Customer Supplied,yes,1568026,,
,,,,,,,,,
,total,303,,,,,,,
,unqiue,23,,,,,,,
