Altium Designer Pick and Place Locations
D:\Documents\Circuit layouts, schematics and misc technical\Altium\EIT\Project Outputs for EIT\Pick Place for Parallel_CS.txt

========================================================================================================================
File Design Information:

Date:       05/02/18
Time:       16:33
Revision:   Not in VersionControl
Variant:    No variations
Units used: mm

Designator Comment           Layer    Footprint                      Center-X(mm) Center-Y(mm) Rotation Description                                                                                                                                                      Value 
TP11       TESTPOINT_WHITE   TopLayer TestPointVia                   62.9920      127.0000     90       ""                                                                                                                                                               ""    
DDS6_R23   0.1%              TopLayer 6-0805_M                       91.0590      181.8640     270      Resistor                                                                                                                                                         100k  
DDS6_R22   0.1%              TopLayer 6-0805_M                       88.2650      181.8640     90       Resistor                                                                                                                                                         50k   
DDS6_R21   0.1%              TopLayer 6-0805_M                       85.4710      181.8640     90       Resistor                                                                                                                                                         20k   
DDS6_R20   0.1%              TopLayer 6-0805_M                       82.5500      181.8640     90       Resistor                                                                                                                                                         10k   
DDS6_R19   0.1%              TopLayer 6-0805_M                       82.6770      199.2630     90       Resistor                                                                                                                                                         100k  
DDS6_R18   0.1%              TopLayer 6-0805_M                       85.4710      199.2630     270      Resistor                                                                                                                                                         50k   
DDS6_P3    "Header 4X2"      TopLayer HDR2X4                         86.8680      186.6900     360      "Header, 4-Pin, Dual row"                                                                                                                                        ""    
DDS6_P2    "Header 4X2"      TopLayer HDR2X4                         86.8680      194.4370     180      "Header, 4-Pin, Dual row"                                                                                                                                        ""    
*1         Pro_Micro         TopLayer Pro_Micro                      35.5600      116.0780     90       ""                                                                                                                                                               ""    
C18        "Cap Semi"        TopLayer 1608[0603]                     89.0270      112.0760     270      "Capacitor (Semiconductor SIM Model)"                                                                                                                            4.7uF 
C19        "Cap Semi"        TopLayer 1608[0603]                     60.0710      120.8420     90       "Capacitor (Semiconductor SIM Model)"                                                                                                                            10uF  
C21        "Cap Semi"        TopLayer 1608[0603]                     77.2160      110.5550     270      "Capacitor (Semiconductor SIM Model)"                                                                                                                            4.7uF 
C22        "Cap Semi"        TopLayer 1608[0603]                     59.8790      115.0620     180      "Capacitor (Semiconductor SIM Model)"                                                                                                                            0.1uF 
DS1        TLMS1100-GS08     TopLayer VISH-TLMX1100_V                75.5650      107.5690     180      "LED, RED, 2.1 V, -40 to 100 degC, 2-Pin SMD (0603), RoHS, Tape and Reel"                                                                                        ""    
DS2        TLMS1100-GS08     TopLayer VISH-TLMX1100_V                76.4540      120.5230     270      "LED, RED, 2.1 V, -40 to 100 degC, 2-Pin SMD (0603), RoHS, Tape and Reel"                                                                                        ""    
J1         ZX62D-AB-5P8      TopLayer HIRO-ZX62D-AB-5P8_V            94.2015      111.4090     90       "USB 2.0 Standard Micro-USB Connector, Micro AB-Standard (Bottom Mount), 30 V AC, -30 to 85 degC, Right Angle, 5-Pin 7.5 x 5.6 x 2.8 mm SMD, RoHS, Reel"         ""    
J*1        JST               TopLayer JST-_S2B-PH-SM4-TB(LF)(SN)-2_V 93.9130      123.0630     90       ""                                                                                                                                                               ""    
R14        ""                TopLayer 6-0805_M                       80.7880      115.4430     0        Resistor                                                                                                                                                         2k    
R15        ""                TopLayer 6-0805_M                       76.4540      124.8410     90       Resistor                                                                                                                                                         330   
R16        ""                TopLayer 6-0805_M                       85.7250      110.3790     90       Resistor                                                                                                                                                         330   
R17        ""                TopLayer 6-0805_M                       54.1020      112.6650     270      Resistor                                                                                                                                                         1k    
S1         SW-SPST           TopLayer SPST-2                         81.5340      123.0630     90       "Single-Pole, Single-Throw Switch"                                                                                                                               ""    
U6         MCP73831T-2ADI/OT TopLayer SOT-23-OT5_M                   80.9560      111.4400     0        "Miniature Single-Cell, Fully Integrated Li-Ion, Li-Polymer Charge Management Controller, 4.2V, 5-Pin SOT-23, Industrial Temperature, Tape and Reel"             ""    
U7         LTC1044ACS8       TopLayer LT-S8-8_M                      66.2940      121.4120     0        "12 V CMOS Voltage Converter, 8-pin SOIC (S8-8), 0 to 70 degC"                                                                                                   ""    
U8         LTC6900IS5#PBF    TopLayer LT-TSOT-23-5_V                 59.1820      112.5220     0        "Low Power, Resistor Set Oscillator, 1 KHz to 20 MHz, 2.7 to 5.5 V, -40 to 85 degC, 5-Pin SOT-23 (S5), Pb-Free"                                                  ""    
DDS6_U5    OPA2188AIDR       TopLayer D0008A_L                       72.7710      184.4660     360      "0.03 uV/degC, 6 uV Vos, Low Noise, Rail-to-Rail Output, Zero-Drift Operational Amplifier, 4 to 36 V, -40 to 105 degC, 8-pin SOIC (D8), Green (RoHS & no Sb/Br)" ""    
DDS6_U4    AD8476ARMZ        TopLayer SOP65P490X110-8N               57.2770      189.2920     90       "SP Amp DIFF AMP Single R-R O/P Â±9V/18V 8-Pin MSOP Tube"                                                                                                        ""    
DDS6_U3    OPA2188AIDR       TopLayer D0008A_L                       42.1640      188.6110     360      "0.03 uV/degC, 6 uV Vos, Low Noise, Rail-to-Rail Output, Zero-Drift Operational Amplifier, 4 to 36 V, -40 to 105 degC, 8-pin SOIC (D8), Green (RoHS & no Sb/Br)" ""    
DDS6_U2    OPA2188AIDR       TopLayer D0008A_L                       73.2790      196.4040     360      "0.03 uV/degC, 6 uV Vos, Low Noise, Rail-to-Rail Output, Zero-Drift Operational Amplifier, 4 to 36 V, -40 to 105 degC, 8-pin SOIC (D8), Green (RoHS & no Sb/Br)" ""    
DDS6_U1    AD9833BRMZ        TopLayer ADI-RM-10_M                    31.8930      195.9020     270      "Low Power, 12.65 mW, 2.3 V to 5.5 V, Programmable Waveform Generator, 10-Bit, Serial, RM-10, 50 Tube, Pb-Free"                                                  ""    
DDS6_R13   0.1%              TopLayer 6-0805_M                       65.1350      182.6880     180      Resistor                                                                                                                                                         100K  
DDS6_R12   0.1%              TopLayer 6-0805_M                       59.8010      182.6880     360      Resistor                                                                                                                                                         100K  
DDS6_R11   0.1%              TopLayer 6-0805_M                       88.2650      199.2630     270      Resistor                                                                                                                                                         20k   
DDS6_R10   0.1%              TopLayer 6-0805_M                       78.7400      182.3070     90       Resistor                                                                                                                                                         100K  
DDS6_R9    0.1%              TopLayer 6-0805_M                       65.1510      186.1170     360      Resistor                                                                                                                                                         100K  
DDS6_R8    0.1%              TopLayer 6-0805_M                       65.8970      194.8800     180      Resistor                                                                                                                                                         100K  
DDS6_R7    0.1%              TopLayer 6-0805_M                       59.9600      194.8800     360      Resistor                                                                                                                                                         100K  
DDS6_R6    ""                TopLayer 6-0805_M                       47.1170      185.3390     90       Resistor                                                                                                                                                         1k    
DDS6_R5    ""                TopLayer 6-0805_M                       33.1470      189.0380     360      Resistor                                                                                                                                                         8.87k 
DDS6_R4    ""                TopLayer 6-0805_M                       31.2420      186.3710     360      Resistor                                                                                                                                                         1.13k 
DDS6_R3    0.1%              TopLayer 6-0805_M                       91.0590      199.2630     270      Resistor                                                                                                                                                         10k   
DDS6_R2    0.1%              TopLayer 6-0805_M                       78.8670      193.3560     90       Resistor                                                                                                                                                         100K  
